Survey Year,Year,Site,Quad,Species,Live.Length,Live.Width,Live Cover,Notes
1,2019,HB2,4,PAST,8,4,32,
1,2019,HB2,23,PAST,8,6,48,
1,2019,HB2,39,DSTO,8,7,56,
1,2019,HB2,39,SSID,8,6,48,
1,2019,HB3,3,SINT,8,5,40,
1,2019,HB3,6,PAST,8,5,40,
1,2019,HB3,11,ALAM,8,6,48,
1,2019,HB3,18,SSID,8,6,48,
1,2019,HB3,18,SSID,8,5,40,
1,2019,HB3,18,PAST,8,4,32,
1,2019,HB3,18,PAST,8,8,64,
1,2019,HB3,23,MCAV,8,6,48,
1,2019,HB3,37,PAST,8,7,56,
1,2019,HB3,40,PAST,8,5,40,
1,2019,HH2,5,PPOR,8,7,56,
1,2019,JUL_1,8,DSTO,8,5,40,
1,2019,JUL_1,21,PPOR,8,7,56,
1,2019,JUL_2,7,SINT,8,6,48,
1,2019,JUL_2,11,PAST,8,6,48,
1,2019,JUL_2,16,MDEC,8,5,40,
1,2019,JUL_2,28,SSID,8,6,48,
1,2019,JUL_7,7,PAST,8,6,48,
1,2019,JUL_7,38,PAST,8,6,48,
1,2019,JUL_8,16,OFAV,8,6,48,"Initially recorded as OFRA, changed to OFAV for consistency NJ 1/13/22"
1,2019,JUL_8,18,PAST,8,7,56,
1,2019,POMP1,14,PAST,8,5,40,
1,2019,POMP1,15,SSID,8,3,24,
1,2019,POMP1,20,PPOR,8,6,48,
1,2019,POMP1,35,SSID,8,5,40,
1,2019,POMP1,36,PAST,8,6,48,
1,2019,POMP2,21,SSID,8,6,48,
1,2019,POMP3,7,PAST,8,4,32,
1,2019,POMP3,27,SSID,8,6,48,
1,2019,POMP3,32,SINT,8,6,48,
1,2019,POMP3,34,MCAV,8,6,48,
1,2019,POMP3,38,PAST,8,8,64,
1,2019,POMP5,24,MCAV,8,6,48,
1,2019,POMP6,24,MMEA,8,6,48,
1,2019,POMP6,36,PAST,8,6,48,
2,2020,DB2,14,PAST,8,6,48,
2,2020,DB2,27,SINT,8,5,40,
2,2020,DB3,22,SSID,8,6,48,
2,2020,DB3,25,PAST,8,3,24,
2,2020,FTL2,7,SINT,8,6,48,
2,2020,FTL2,35,MCAV,8,7,56,
2,2020,FTL3,4,SSID,8,7,56,
2,2020,FTL3,6,SSID,8,7,56,
2,2020,FTL3,22,SINT,8,6,48,
2,2020,FTL3,30,SSID,8,5,40,
2,2020,FTL4,1,PAST,8,3,24,
2,2020,FTL4,4,PAST,8,6,48,
2,2020,FTL4,16,ACER,8,5,40,
2,2020,FTL4,29,AAGA,8,7,56,
2,2020,FTL4,36,SINT,8,4,32,
2,2020,FTL5,26,PPOR,8,3,24,
2,2020,FTL5,34,SSID,8,4,32,
2,2020,FTL6,19,AAGA,8,6,48,
2,2020,FTL6,19,AAGA,8,6,48,
2,2020,FTL6,28,PAST,8,5,40,
2,2020,FTL6,29,AAGA,8,1,8,
2,2020,HB2,6,SSID,8,8,64,
2,2020,HB2,27,PAST,8,5,40,
2,2020,HB2,29,MCAV,8,6,48,
2,2020,HB3,6,PAST,8,6,48,
2,2020,HB3,18,SSID,8,8,64,
2,2020,HB3,18,PAST,8,6,48,
2,2020,HB3,23,MCAV,8,5,40,
2,2020,HH2,5,PPOR,8,5,40,
2,2020,JUL_1,2,SINT,8,8,64,
2,2020,JUL_1,8,DSTO,8,7,56,
2,2020,JUL_1,21,PPOR,8,7,56,
2,2020,JUL_2,7,SINT,8,8,64,
2,2020,JUL_2,11,PAST,8,7,56,
2,2020,JUL_2,16,MDEC,8,4,32,
2,2020,JUL_2,17,SSID,8,8,64,
2,2020,JUL_6,16,PAST,8,8,64,
2,2020,JUL_6,19,PAST,8,6,48,
2,2020,JUL_7,8,SINT,8,8,64,
2,2020,JUL_7,15,SSID,8,3,24,
2,2020,JUL_7,36,PAST,8,8,64,
2,2020,JUL_7,38,SINT,8,7,56,
2,2020,JUL_7,38,SSID,8,7,56,
2,2020,JUL_7,39,SSID,8,8,64,
2,2020,JUL_8,13,MCAV,8,7,56,
2,2020,JUL_8,24,MCAV,8,7,56,
2,2020,JUL_8,28,SSID,8,5,40,
2,2020,POMP1,7,PAST,8,6,48,
2,2020,POMP1,14,PAST,8,5,40,
2,2020,POMP1,19,PAST,8,5,40,
2,2020,POMP1,30,PPOR,8,4,32,
2,2020,POMP3,7,PAST,8,7,56,
2,2020,POMP3,8,MCAV,8,7,56,
2,2020,POMP3,8,PAST,8,6,48,
2,2020,POMP3,10,MDEC,8,6,48,
2,2020,POMP3,20,PAST,8,6,48,
2,2020,POMP3,24,PAST,8,7,56,
2,2020,POMP3,28,MCAV,8,5,40,
2,2020,POMP3,34,MDEC,8,7,56,
2,2020,POMP5,13,SINT,8,6,48,
2,2020,POMP6,36,PAST,8,6,48,
3,2021,DB2,12,PAST,8,7,56,
3,2021,DB2,27,SINT,8,7,56,
3,2021,DB2,29,PAST,8,7,56,
3,2021,DB3,14,PAST,8,4,32,
3,2021,DB3,32,SSID,8,7,56,
3,2021,DB3,39,SSID,8,6,48,
3,2021,FTL1,1,AAGA,8,7,56,
3,2021,FTL1,15,PAST,8,8,64,
3,2021,FTL1,19,PAST,8,6,48,
3,2021,FTL2,5,SINT,8,6,48,
3,2021,FTL2,35,MCAV,8,7,56,
3,2021,FTL3,4,SSID,8,6,48,
3,2021,FTL3,22,SINT,8,6,48,
3,2021,FTL4,34,PPOR,8,5,40,
3,2021,FTL4,36,AAGA,8,6,48,
3,2021,FTL5,1,SINT,8,7,56,
3,2021,FTL5,19,PAST,8,6,48,
3,2021,FTL5,26,MCAV,8,6,48,
3,2021,FTL5,34,SSID,8,6,48,
3,2021,FTL6,8,AAGA,8,6,48,
3,2021,FTL6,10,AAGA,8,6,48,
3,2021,FTL6,18,PPOR,8,5,40,
3,2021,FTL6,21,AAGA,8,6,48,
3,2021,FTL6,24,AAGA,8,8,64,
3,2021,HB2,6,SSID,8,7,56,
3,2021,HB2,38,SSID,8,7,56,
3,2021,HB2,40,SSID,8,7,56,
3,2021,HB3,6,PAST,8,6,48,
3,2021,HB3,10,PAST,8,7,56,
3,2021,HB3,16,MCAV,8,5,40,
3,2021,HB3,18,PAST,8,5,40,
3,2021,HB3,18,PAST,8,7,56,
3,2021,HB3,18,PAST,8,3,24,
3,2021,HB3,23,MCAV,8,6,48,
3,2021,HB3,29,DSTO,8,8,64,
3,2021,HB3,37,PAST,8,7,56,
3,2021,HB3,37,AAGA,8,6,48,
3,2021,HB3,37,SINT,8,6,48,
3,2021,JUL_1,5,PSTR,8,8,64,
3,2021,JUL_1,5,SINT,8,7,56,
3,2021,JUL_1,8,PPOR,8,4,32,
3,2021,JUL_1,15,MCAV,8,8,64,
3,2021,JUL_1,21,PPOR,8,7,56,
3,2021,JUL_1,39,PDIV,8,8,64,
3,2021,JUL_2,24,SSID,8,6,48,
3,2021,JUL_2,38,OFAV,8,6,48,
3,2021,JUL_7,16,SSID,8,5,40,
3,2021,JUL_7,38,SSID,8,8,64,
3,2021,JUL_8,13,PAST,8,7,56,
3,2021,JUL_8,28,PAST,8,4,32,
3,2021,POMP1,3,PPOR,8,7,56,
3,2021,POMP1,35,SSID,8,4,32,
3,2021,POMP2,14,OFAV,8,4,32,
3,2021,POMP3,1,PAST,8,4,32,
3,2021,POMP3,6,PAST,8,7,56,
3,2021,POMP3,6,PAST,8,7,56,
3,2021,POMP3,10,PAST,8,5,40,
3,2021,POMP3,29,PAST,8,6,48,
3,2021,POMP5,13,SINT,8,5,40,
3,2021,POMP6,37,SSID,8,6,48,
1,2020,Pompano,22,SSID,8,4,32,
1,2020,Pompano,23,MCAV,8,5,40,
1,2020,Pompano,35,SINT,8,5,40,
1,2020,Pompano,36,MDEC,8,3,24,
1,2020,Pompano,36,MDEC,8,6,48,
1,2020,Pompano,38,OFRA,8,4,32,
1,2020,FTL Deep,3,MSEN,8,5,40,
1,2020,FTL Deep,9,MDEC,8,7,56,
1,2020,FTL Deep,13,SINT,8,7,56,
1,2020,JUL Deep,8,PAST,8,5,40,
1,2020,JUL Deep,19,SINT,8,5,40,
1,2020,JUL Deep,23,SINT,8,7,56,
1,2020,Hollywood,4,SINT,8,7,56,
1,2020,Hollywood,5,MCAV,8,6,48,
1,2020,Hollywood,13,SINT,8,6,48,
1,2020,Hollywood,16,MDEC,8,5,40,
1,2020,Hollywood,16,SINT,8,4,32,
1,2020,Hollywood,24,MDEC,8,3,24,
1,2020,Hollywood,25,MDEC,8,7,56,
1,2020,Hollywood,26,MDEC,8,4,32,
1,2020,Hollywood,31,SINT,8,7,56,
1,2020,Deerfield,4,MDEC,8,5,40,
1,2020,Deerfield,4,MDEC,8,6,48,
1,2020,Deerfield,4,MDEC,8,4,32,
1,2020,Deerfield,5,MDEC,8,7,56,
1,2020,Deerfield,17,MSEN,8,5,40,
1,2020,Deerfield,22,MCAV,8,7,56,
1,2020,Deerfield,32,SINT,8,6,48,
1,2020,Deerfield,39,SINT,8,5,40,
1,2020,Hillsboro,9,MDEC,8,5,40,
1,2020,Hillsboro,22,SINT,8,7,56,
1,2020,Hillsboro,33,SSID,8,7,56,
2,2021,JUL Deep,10,SSID,8,8,64,
2,2021,JUL Deep,25,EFAS,8,7,56,
2,2021,JUL Deep,26,PAST,8,6,48,
2,2021,JUL Deep,29,MDEC,8,6,48,
2,2021,FTL Deep,9,MDEC,8,5,40,
2,2021,FTL Deep,13,SINT,8,8,64,
2,2021,FTL Deep,23,MDEC,8,7,56,
2,2021,FTL Deep,36,MDEC,8,7,56,
2,2021,Pompano,2,MDEC,8,5,40,
2,2021,Pompano,4,MDEC,8,6,48,
2,2021,Pompano,8,MDEC,8,5,40,
2,2021,Pompano,16,SINT,8,8,64,
2,2021,Pompano,23,MCAV,8,6,48,
2,2021,Pompano,27,MDEC,8,6,48,
2,2021,Pompano,36,MSEN,8,5,40,
2,2021,Pompano,37,SSID,8,4,32,
2,2021,Pompano,40,MDEC,8,5,40,
2,2021,Hillsboro,16,SSID,8,6,48,
2,2021,Hillsboro,19,MSEN,8,3,24,
2,2021,Hillsboro,33,SSID,8,4,32,
2,2021,Hillsboro,35,PAST,8,7,56,
2,2021,Hillsboro,40,MMEA,8,7,56,
2,2021,Deerfield,16,PAST,8,5,40,
2,2021,Deerfield,22,MCAV,8,8,64,
2,2021,Hollywood,4,SINT,8,5,40,
2,2021,Hollywood,16,MDEC,8,5,40,
2,2021,Hollywood,16,SSID,8,5,40,
2,2021,Hollywood,24,MDEC,8,7,56,
2,2021,Hollywood,25,SINT,8,6,48,
2,2021,Hollywood,31,MDEC,8,6,48,
3,2022,Hollywood,4,SINT,8,7,56,
3,2022,Hollywood,5,MDEC,8,6,48,
3,2022,Hollywood,18,SINT,8,8,64,
3,2022,Hollywood,25,SINT,8,6,48,
3,2022,Hollywood,30,SINT,8,3,24,
3,2022,JUL Deep,3,SSID,8,7,56,
3,2022,JUL Deep,11,SINT,8,4,32,
3,2022,JUL Deep,16,PAST,8,6,48,
3,2022,JUL Deep,25,EFAS,8,8,64,
3,2022,JUL Deep,25,MDEC,8,6,48,
3,2022,JUL Deep,26,PAST,8,7,56,
3,2022,JUL Deep,28,MDEC,8,3,24,
3,2022,JUL Deep,28,PAST,8,6,48,
3,2022,JUL Deep,28,MCAV,8,5,40,
3,2022,JUL Deep,40,SINT,8,5,40,
3,2022,Pompano,11,SSID,8,7,56,
3,2022,Pompano,23,MCAV,8,6,48,
3,2022,Pompano,38,OFRA,8,3,24,
3,2022,Deerfield,38,SINT,8,8,64,
3,2022,Deerfield,39,SINT,8,4,32,
3,2022,Hillsboro,1,MMEA,8,7,56,
3,2022,Hillsboro,19,MSEN,8,4,32,
3,2022,FTL Deep,12,MDEC,8,5,40,
3,2022,FTL Deep,33,SINT,8,8,64,
3,2022,FTL Deep,36,PAST,8,7,56,
1,2019,DB2,7,SSID,7,3,21,
1,2019,DB2,16,PAST,7,2,14,
1,2019,DB2,26,PAST,7,3,21,
1,2019,DB2,29,PAST,7,5,35,
1,2019,DB2,36,MCAV,7,5,35,
1,2019,FTL1,1,AAGA,7,6,42,
1,2019,FTL1,1,AAGA,7,4,28,
1,2019,FTL1,5,AAGA,7,5,35,
1,2019,FTL1,7,SSID,7,5,35,
1,2019,FTL1,10,AAGA,7,3,21,
1,2019,FTL1,30,AAGA,7,4,28,
1,2019,FTL1,32,DLAB,7,6,42,
1,2019,FTL1,40,PAST,7,7,49,
1,2019,FTL2,7,MDEC,7,5,35,
1,2019,FTL2,13,MCAV,7,4,28,
1,2019,FTL2,28,PAST,7,5,35,
1,2019,FTL3,4,SSID,7,5,35,
1,2019,FTL3,4,PAST,7,5,35,
1,2019,FTL3,6,SSID,7,6,42,
1,2019,FTL3,22,PAST,7,6,42,
1,2019,FTL3,33,SINT,7,5,35,
1,2019,FTL4,26,MCAV,7,6,42,
1,2019,FTL4,26,MCAV,7,5,35,
1,2019,FTL4,30,AAGA,7,4,28,
1,2019,FTL5,10,SINT,7,7,49,
1,2019,FTL5,19,PAST,7,5,35,
1,2019,FTL5,30,SBOU,7,6,42,
1,2019,FTL6,12,AAGA,7,5,35,
1,2019,FTL6,12,AAGA,7,7,49,
1,2019,FTL6,15,AAGA,7,6,42,
1,2019,FTL6,17,AAGA,7,4,28,
1,2019,FTL6,19,AAGA,7,6,42,
1,2019,FTL6,19,AAGA,7,5,35,
1,2019,FTL6,19,AAGA,7,4,28,
1,2019,FTL6,26,AAGA,7,5,35,
1,2019,FTL6,28,AAGA,7,4,28,
1,2019,FTL6,28,AAGA,7,5,35,
1,2019,FTL6,28,AAGA,7,3,21,
1,2019,FTL6,28,AAGA,7,6,42,
1,2019,FTL6,28,PPOR,7,4,28,
1,2019,FTL6,29,AAGA,7,5,35,
1,2019,FTL6,31,AAGA,7,7,49,
1,2019,FTL6,32,AAGA,7,7,49,
1,2019,FTL6,34,AAGA,7,5,35,
1,2019,HB2,36,SINT,7,6,42,
1,2019,HB2,40,SSID,7,6,42,
1,2019,HB3,21,AAGA,7,6,42,
1,2019,HB3,30,SINT,7,5,35,
1,2019,HB3,32,SSID,7,7,49,
1,2019,HB3,33,SSID,7,2,14,
1,2019,HB3,37,AAGA,7,6,42,
1,2019,HB3,37,SINT,7,6,42,
1,2019,JUL_1,3,PAST,7,5,35,
1,2019,JUL_1,5,PSTR,7,6,42,
1,2019,JUL_1,8,PPOR,7,5,35,
1,2019,JUL_2,4,SINT,7,7,49,
1,2019,JUL_2,16,SSID,7,7,49,
1,2019,JUL_2,17,SSID,7,7,49,
1,2019,JUL_2,24,SSID,7,6,42,
1,2019,JUL_2,30,SSID,7,5,35,
1,2019,JUL_2,38,SINT,7,3,21,
1,2019,JUL_6,21,PAST,7,5,35,
1,2019,JUL_7,13,PAST,7,6,42,
1,2019,JUL_7,18,PAST,7,3,21,
1,2019,JUL_7,38,SSID,7,6,42,
1,2019,JUL_8,13,MCAV,7,4,28,
1,2019,JUL_8,23,SINT,7,5,35,
1,2019,POMP1,7,PPOR,7,5,35,
1,2019,POMP1,9,PPOR,7,6,42,
1,2019,POMP1,9,PAST,7,5,35,
1,2019,POMP1,13,PAST,7,5,35,
1,2019,POMP1,18,PAST,7,5,35,
1,2019,POMP1,25,PPOR,7,6,42,
1,2019,POMP1,26,PPOR,7,4,28,
1,2019,POMP1,32,PPOR,7,4,28,
1,2019,POMP1,36,PPOR,7,5,35,
1,2019,POMP2,4,SSID,7,6,42,
1,2019,POMP2,17,SINT,7,7,49,
1,2019,POMP2,20,MCAV,7,3,21,
1,2019,POMP3,1,PAST,7,5,35,
1,2019,POMP3,5,SSID,7,6,42,
1,2019,POMP3,8,MCAV,7,7,49,
1,2019,POMP3,12,SSID,7,5,35,
1,2019,POMP3,18,SSID,7,5,35,
1,2019,POMP3,22,SSID,7,7,49,
1,2019,POMP3,22,SINT,7,6,42,
1,2019,POMP3,24,PAST,7,5,35,
1,2019,POMP3,28,MCAV,7,4,28,
1,2019,POMP3,30,PAST,7,5,35,
1,2019,POMP3,35,SINT,7,5,35,
1,2019,POMP3,36,MCAV,7,6,42,
1,2019,POMP4,8,PPOR,7,5,35,
1,2019,POMP4,30,PPOR,7,5,35,
1,2019,POMP5,13,SINT,7,6,42,
1,2019,POMP6,1,SSID,7,6,42,
1,2019,POMP6,6,PAST,7,7,49,
1,2019,POMP6,31,MALI,7,4,28,
1,2019,POMP6,33,PAST,7,6,42,
1,2019,POMP6,37,SSID,7,4,28,
2,2020,DB2,16,PAST,7,5,35,
2,2020,DB2,29,PAST,7,6,42,
2,2020,DB2,33,PAST,7,6,6,
2,2020,DB3,5,SSID,7,7,49,
2,2020,DB3,5,PAST,7,3,21,
2,2020,DB3,15,MMEA,7,6,42,
2,2020,DB3,22,SINT,7,5,35,
2,2020,DB3,32,SSID,7,6,42,
2,2020,FTL1,1,AAGA,7,5,35,
2,2020,FTL1,10,AAGA,7,4,28,
2,2020,FTL1,10,PAST,7,3,21,
2,2020,FTL1,14,PAST,7,5,35,
2,2020,FTL1,15,AAGA,7,5,35,
2,2020,FTL1,17,PAST,7,3,21,
2,2020,FTL1,32,PAST,7,5,35,
2,2020,FTL2,5,SINT,7,6,42,
2,2020,FTL2,8,MCAV,7,6,42,
2,2020,FTL2,15,MDEC,7,3,21,
2,2020,FTL2,26,MMEA,7,6,42,
2,2020,FTL2,27,MCAV,7,6,42,
2,2020,FTL2,28,PAST,7,5,35,
2,2020,FTL2,35,SSID,7,7,49,
2,2020,FTL3,15,PAST,7,7,49,
2,2020,FTL3,27,SINT,7,6,42,
2,2020,FTL3,29,SSID,7,6,42,
2,2020,FTL4,34,PPOR,7,5,35,
2,2020,FTL5,19,PAST,7,5,35,
2,2020,FTL5,30,SBOU,7,7,49,
2,2020,FTL6,13,PAST,7,6,42,
2,2020,FTL6,17,AAGA,7,7,49,
2,2020,FTL6,17,AAGA,7,7,49,
2,2020,FTL6,18,AAGA,7,5,35,
2,2020,FTL6,19,AAGA,7,7,49,
2,2020,FTL6,19,AAGA,7,4,28,
2,2020,FTL6,19,PAST,7,6,42,
2,2020,FTL6,21,AAGA,7,5,35,
2,2020,FTL6,21,AAGA,7,5,35,
2,2020,FTL6,22,AAGA,7,4,28,
2,2020,FTL6,22,AAGA,7,4,28,
2,2020,FTL6,23,AAGA,7,5,35,
2,2020,FTL6,23,AAGA,7,5,35,
2,2020,FTL6,23,AAGA,7,5,35,
2,2020,FTL6,23,AAGA,7,5,35,
2,2020,FTL6,25,PAST,7,4,28,
2,2020,FTL6,27,AAGA,7,5,35,
2,2020,HB2,1,MCAV,7,6,42,
2,2020,HB2,1,PAST,7,6,42,
2,2020,HB2,7,SSID,7,7,49,
2,2020,HB2,24,MCAV,7,7,49,
2,2020,HB2,30,MCAV,7,6,42,
2,2020,HB2,34,MCAV,7,5,35,
2,2020,HB2,36,SINT,7,7,49,
2,2020,HB2,40,SSID,7,7,49,
2,2020,HB3,2,PAST,7,5,35,
2,2020,HB3,3,SSID,7,7,49,
2,2020,HB3,3,SINT,7,7,49,
2,2020,HB3,5,PAST,7,7,49,
2,2020,HB3,7,SINT,7,5,35,
2,2020,HB3,16,MCAV,7,5,35,
2,2020,HB3,18,SSID,7,7,49,
2,2020,HB3,21,PAST,7,7,49,
2,2020,HB3,25,MCAV,7,5,35,
2,2020,HB3,26,PAST,7,5,35,
2,2020,HB3,30,SINT,7,6,42,
2,2020,HB3,34,PAST,7,5,35,
2,2020,HB3,40,PAST,7,4,28,
2,2020,JUL_1,5,SINT,7,7,49,
2,2020,JUL_1,8,SSID,7,6,42,
2,2020,JUL_1,14,SSID,7,7,49,
2,2020,JUL_1,15,MCAV,7,5,35,
2,2020,JUL_1,24,SSID,7,4,28,
2,2020,JUL_1,39,PDIV,7,6,42,
2,2020,JUL_2,10,SINT,7,5,35,
2,2020,JUL_2,16,SSID,7,7,49,
2,2020,JUL_2,35,MDEC,7,6,42,
2,2020,JUL_2,38,MDEC,7,4,28,
2,2020,JUL_6,28,ACER,7,1,7,
2,2020,JUL_6,39,PAST,7,2,14,
2,2020,JUL_7,10,PAST,7,6,42,
2,2020,JUL_7,16,SSID,7,6,42,
2,2020,JUL_7,38,SINT,7,6,42,
2,2020,JUL_7,38,PAST,7,7,49,
2,2020,JUL_7,39,PPOR,7,6,42,
2,2020,JUL_8,3,MCAV,7,5,35,
2,2020,JUL_8,5,SINT,7,7,49,
2,2020,JUL_8,16,OFAV,7,2,14,
2,2020,JUL_8,29,MCAV,7,7,49,
2,2020,JUL_8,33,PAST,7,6,42,
2,2020,JUL_8,35,SINT,7,7,49,
2,2020,POMP1,3,PPOR,7,6,42,
2,2020,POMP1,7,PPOR,7,5,35,
2,2020,POMP1,8,PPOR,7,5,35,
2,2020,POMP1,9,PPOR,7,6,42,
2,2020,POMP1,13,PAST,7,6,42,
2,2020,POMP1,20,PAST,7,4,28,
2,2020,POMP1,25,PPOR,7,6,42,
2,2020,POMP1,27,PPOR,7,5,35,
2,2020,POMP1,35,SSID,7,4,28,
2,2020,POMP1,36,PAST,7,5,35,
2,2020,POMP1,36,PAST,7,6,42,
2,2020,POMP2,20,MCAV,7,4,28,
2,2020,POMP2,25,SSID,7,4,28,
2,2020,POMP2,40,SSID,7,4,28,
2,2020,POMP3,4,MCAV,7,5,35,
2,2020,POMP3,5,SINT,7,5,35,
2,2020,POMP3,5,SINT,7,5,35,
2,2020,POMP3,7,MDEC,7,4,28,
2,2020,POMP3,14,PAST,7,7,49,
2,2020,POMP3,18,SSID,7,5,35,
2,2020,POMP3,24,PAST,7,5,35,
2,2020,POMP3,30,PAST,7,6,42,
2,2020,POMP3,32,SINT,7,5,35,
2,2020,POMP3,35,SINT,7,5,35,
2,2020,POMP3,38,PAST,7,5,35,
2,2020,POMP6,33,PAST,7,6,42,
2,2020,POMP6,37,SSID,7,5,35,
3,2021,DB2,14,PAST,7,7,49,
3,2021,DB2,21,PPOR,7,4,28,
3,2021,DB2,23,SSID,7,6,42,
3,2021,DB2,24,SSID,7,6,42,
3,2021,DB2,30,SSID,7,4,28,
3,2021,DB3,15,MMEA,7,6,42,
3,2021,DB3,19,SSID,7,6,42,
3,2021,DB3,22,SINT,7,6,42,
3,2021,DB3,22,SSID,7,6,42,
3,2021,DB3,31,MDEC,7,4,28,
3,2021,FTL1,7,SSID,7,4,28,
3,2021,FTL1,23,AAGA,7,6,42,
3,2021,FTL1,30,AAGA,7,5,35,
3,2021,FTL1,32,PAST,7,6,42,
3,2021,FTL1,32,DLAB,7,6,42,
3,2021,FTL2,7,SINT,7,6,42,
3,2021,FTL2,15,MCAV,7,7,49,
3,2021,FTL2,19,PAST,7,7,49,
3,2021,FTL2,26,SINT,7,6,42,
3,2021,FTL2,28,SSID,7,7,49,
3,2021,FTL2,28,PAST,7,6,42,
3,2021,FTL3,6,SSID,7,6,42,
3,2021,FTL3,6,MMEA,7,7,49,
3,2021,FTL3,27,SINT,7,5,35,
3,2021,FTL3,29,SSID,7,6,42,
3,2021,FTL3,30,SSID,7,4,28,
3,2021,FTL4,13,ACER,7,3,21,
3,2021,FTL4,19,AAGA,7,4,28,
3,2021,FTL4,39,AAGA,7,7,49,
3,2021,FTL5,25,MCAV,7,6,42,
3,2021,FTL5,38,SSID,7,5,35,
3,2021,FTL6,8,AAGA,7,7,49,
3,2021,FTL6,8,AAGA,7,5,35,
3,2021,FTL6,11,AAGA,7,6,42,
3,2021,FTL6,12,AAGA,7,6,42,
3,2021,FTL6,15,AAGA,7,7,49,
3,2021,FTL6,16,AAGA,7,6,42,
3,2021,FTL6,16,AAGA,7,6,42,
3,2021,FTL6,18,AAGA,7,6,42,
3,2021,FTL6,18,AAGA,7,6,42,
3,2021,FTL6,18,AAGA,7,6,42,
3,2021,FTL6,18,AAGA,7,6,42,
3,2021,FTL6,19,AAGA,7,4,28,
3,2021,FTL6,19,AAGA,7,5,35,
3,2021,FTL6,20,AAGA,7,5,35,
3,2021,FTL6,23,AAGA,7,4,28,
3,2021,FTL6,24,AAGA,7,5,35,
3,2021,FTL6,28,AAGA,7,4,28,
3,2021,FTL6,29,AAGA,7,3,21,
3,2021,FTL6,29,AAGA,7,3,21,
3,2021,FTL6,30,AAGA,7,6,42,
3,2021,FTL6,31,AAGA,7,3,21,
3,2021,FTL6,31,AAGA,7,3,21,
3,2021,FTL6,32,AAGA,7,5,35,
3,2021,HB2,1,PAST,7,6,42,
3,2021,HB2,3,PPOR,7,5,35,
3,2021,HB2,24,MCAV,7,6,42,
3,2021,HB2,26,SSID,7,5,35,
3,2021,HB2,27,PAST,7,6,42,
3,2021,HB2,27,PAST,7,6,42,
3,2021,HB2,29,MCAV,7,5,35,
3,2021,HB2,30,MCAV,7,7,49,
3,2021,HB2,30,SSID,7,6,42,
3,2021,HB2,34,MCAV,7,5,35,
3,2021,HB2,35,SINT,7,7,49,
3,2021,HB2,38,PSTR,7,3,21,
3,2021,HB2,39,PAST,7,5,35,
3,2021,HB2,39,MCAV,7,6,42,
3,2021,HB3,1,MDEC,7,6,42,
3,2021,HB3,5,PAST,7,5,35,
3,2021,HB3,18,SSID,7,6,42,
3,2021,HB3,21,PAST,7,6,42,
3,2021,HB3,22,MCAV,7,5,35,
3,2021,HB3,25,PAST,7,6,42,
3,2021,HB3,30,SINT,7,6,42,
3,2021,HB3,33,SSID,7,4,28,
3,2021,HB3,34,PAST,7,5,35,
3,2021,HB3,35,PAST,7,6,42,
3,2021,HH2,27,SSID,7,2,14,
3,2021,JUL_1,2,SINT,7,6,42,
3,2021,JUL_1,10,SSID,7,5,35,
3,2021,JUL_1,14,SSID,7,4,28,
3,2021,JUL_1,27,SSID,7,3,21,
3,2021,JUL_1,24,SSID,7,5,35,
3,2021,JUL_1,35,MCAV,7,6,42,
3,2021,JUL_2,11,MDEC,7,5,35,
3,2021,JUL_2,11,MDEC,7,6,42,
3,2021,JUL_2,16,MDEC,7,5,35,
3,2021,JUL_2,16,SSID,7,6,42,
3,2021,JUL_2,32,MMEA,7,7,49,
3,2021,JUL_2,34,MDEC,7,5,35,
3,2021,JUL_6,19,PAST,7,7,49,
3,2021,JUL_6,39,PAST,7,5,35,
3,2021,JUL_7,4,SINT,7,6,42,
3,2021,JUL_7,7,MCAV,7,4,28,
3,2021,JUL_7,8,SINT,7,5,35,
3,2021,JUL_7,10,PAST,7,5,35,
3,2021,JUL_7,15,SSID,7,4,28,
3,2021,JUL_7,16,PAST,7,5,35,
3,2021,JUL_7,19,SSID,7,6,42,
3,2021,JUL_7,22,PAST,7,5,35,
3,2021,JUL_7,38,SINT,7,5,35,
3,2021,JUL_8,3,PAST,7,5,35,
3,2021,JUL_8,3,MCAV,7,5,35,
3,2021,JUL_8,3,SINT,7,5,35,
3,2021,JUL_8,10,SSID,7,7,49,
3,2021,JUL_8,11,PAST,7,5,35,
3,2021,JUL_8,16,OFAV,7,3,21,
3,2021,JUL_8,27,MCAV,7,6,42,
3,2021,POMP1,9,PPOR,7,5,35,
3,2021,POMP1,14,PPOR,7,7,49,
3,2021,POMP1,14,PAST,7,5,35,
3,2021,POMP1,19,PAST,7,5,35,
3,2021,POMP1,20,PPOR,7,7,49,
3,2021,POMP1,36,PAST,7,6,42,
3,2021,POMP2,20,MCAV,7,5,35,
3,2021,POMP3,2,SSID,7,3,21,
3,2021,POMP3,5,SINT,7,5,35,
3,2021,POMP3,7,PAST,7,5,35,
3,2021,POMP3,7,PAST,7,3,21,
3,2021,POMP3,7,MMEA,7,6,42,
3,2021,POMP3,8,PAST,7,6,42,
3,2021,POMP3,12,SSID,7,6,42,
3,2021,POMP3,15,SINT,7,6,42,
3,2021,POMP3,25,SSID,7,6,42,
3,2021,POMP3,26,MCAV,7,7,49,
3,2021,POMP3,30,PAST,7,6,42,
3,2021,POMP3,32,SINT,7,7,49,
